74,74,150,74,74,74,151,74,74,74,74,74,74,74,74,150,150,150,150,150,150,150,150,150,150,150,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74
74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,150,150,150,150,150,150,150,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,150,74,74,74,74,74,74
55,55,55,55,55,55,55,55,55,55,55,55,55,56,74,74,74,74,74,74,150,74,74,150,150,150,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74
71,71,71,71,71,71,71,71,71,71,71,71,71,72,74,74,74,74,74,74,74,74,74,150,150,150,74,74,74,74,74,74,74,74,74,74,74,150,74,74,74,74,74,74,74,74,151,74,74,74
71,171,171,71,71,71,71,71,71,71,71,71,71,89,55,55,55,55,55,56,74,74,74,74,74,150,74,74,74,74,74,152,74,74,74,74,74,74,74,74,74,152,74,74,74,74,74,74,74,74
71,71,171,71,71,71,71,71,170,71,169,71,71,71,71,71,71,71,71,72,74,74,74,74,74,150,150,150,150,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74
71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,72,74,74,74,74,74,74,74,74,150,74,74,74,74,74,74,74,74,54,55,55,55,55,55,55,55,55,55,56,150,74
71,71,171,71,71,71,169,71,71,71,71,71,71,71,71,71,71,71,71,72,74,74,74,74,74,74,74,74,150,150,74,74,74,150,74,74,74,70,71,71,71,71,71,71,71,71,71,89,56,74
71,71,71,71,170,71,71,71,171,171,171,71,71,95,71,71,71,71,71,89,55,55,55,56,74,74,74,74,74,74,150,74,74,74,74,74,74,70,71,170,71,71,71,79,71,71,71,71,73,74
71,71,71,71,71,71,71,71,71,71,71,71,71,71,169,71,71,71,71,71,71,71,71,89,55,56,74,74,74,74,74,74,74,74,74,74,74,70,71,71,169,71,71,71,171,71,71,71,73,74
71,71,71,71,71,71,71,71,71,71,71,169,71,71,71,71,71,171,171,171,71,71,71,71,71,89,56,74,74,74,74,74,74,74,74,74,74,70,71,71,71,71,79,71,71,71,71,57,88,74
71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,89,55,56,74,74,74,74,74,74,74,74,86,87,87,87,87,87,87,87,87,87,88,74,74
97,97,97,97,97,97,98,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,72,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74
113,113,113,113,113,113,131,98,71,71,71,71,71,71,71,71,71,71,169,71,71,71,71,169,71,71,71,169,72,74,74,74,74,74,152,150,74,74,74,74,74,74,74,74,74,74,74,74,74,74
113,113,113,113,113,113,113,131,98,71,71,71,71,71,71,71,71,71,71,71,171,171,71,71,71,71,71,71,72,74,74,74,74,74,150,151,74,74,74,74,74,74,150,74,74,74,152,74,74,74
